Database backup created at: 2025-08-06 23:28:04.650727

Record 49: {'id': 114, 'timestamp': 1729814400, 'data_source': 'coingecko_real_historical', 'total_market_cap': 2542929583321.497, 'btc_market_cap': 1347888109010.5889, 'eth_market_cap': 305016120148.3843, 'btc_price': 68214.05205157402, 'alt_market_cap': 890025354162.5239, 'alt_strength_ratio': 13047536.796225065, 'btc_dominance': 53.00532574126644, 'data_quality_score': 1.0, 'collection_latency_ms': 0, 'created_at': 1754511244}
Record 50: {'id': 115, 'timestamp': 1729900800, 'data_source': 'coingecko_real_historical', 'total_market_cap': 2468574014371.83, 'btc_market_cap': 1313975091942.221, 'eth_market_cap': 290598017399.4684, 'btc_price': 66585.66535501445, 'alt_market_cap': 864000905030.1407, 'alt_strength_ratio': 12975779.402722064, 'btc_dominance': 53.22810190386712, 'data_quality_score': 1.0, 'collection_latency_ms': 0, 'created_at': 1754511244}
Record 51: {'id': 116, 'timestamp': 1729987200, 'data_source': 'coingecko_real_historical', 'total_market_cap': 2498016232449.467, 'btc_market_cap': 1325192118637.2595, 'eth_market_cap': 298518432454.89374, 'btc_price': 67018.1650170265, 'alt_market_cap': 874305681357.3135, 'alt_strength_ratio': 13045801.554476894, 'btc_dominance': 53.04978011843513, 'data_quality_score': 1.0, 'collection_latency_ms': 0, 'created_at': 1754511244}
Record 52: {'id': 117, 'timestamp': 1730073600, 'data_source': 'coingecko_real_historical', 'total_market_cap': 2530779684518.241, 'btc_market_cap': 1343350549900.1233, 'eth_market_cap': 301656245036.7335, 'btc_price': 67938.55412885673, 'alt_market_cap': 885772889581.3844, 'alt_strength_ratio': 13037853.115057016, 'btc_dominance': 53.080501559180306, 'data_quality_score': 1.0, 'collection_latency_ms': 0, 'created_at': 1754511244}
Record 53: {'id': 118, 'timestamp': 1730160000, 'data_source': 'coingecko_real_historical', 'total_market_cap': 2599439154718.0376, 'btc_market_cap': 1380874923096.4146, 'eth_market_cap': 308760527470.31, 'btc_price': 69845.304531169, 'alt_market_cap': 909803704151.313, 'alt_strength_ratio': 13025982.351402108, 'btc_dominance': 53.12203290429388, 'data_quality_score': 1.0, 'collection_latency_ms': 0, 'created_at': 1754511244}
Record 54: {'id': 119, 'timestamp': 1730246400, 'data_source': 'coingecko_real_historical', 'total_market_cap': 2702991269498.848, 'btc_market_cap': 1439310420089.3665, 'eth_market_cap': 317633905084.8851, 'btc_price': 72781.11308158132, 'alt_market_cap': 946046944324.5967, 'alt_strength_ratio': 12998522.61484597, 'btc_dominance': 53.2488001841095, 'data_quality_score': 1.0, 'collection_latency_ms': 0, 'created_at': 1754511244}
Record 55: {'id': 120, 'timestamp': 1730332800, 'data_source': 'coingecko_real_historical', 'total_market_cap': 2694170677697.21, 'btc_market_cap': 1431085552900.1965, 'eth_market_cap': 320125387602.99, 'btc_price': 72342.62171127986, 'alt_market_cap': 942959737194.0234, 'alt_strength_ratio': 13034635.94335004, 'btc_dominance': 53.117850503940204, 'data_quality_score': 1.0, 'collection_latency_ms': 0, 'created_at': 1754511244}
Record 56: {'id': 121, 'timestamp': 1730419200, 'data_source': 'coingecko_real_historical', 'total_market_cap': 2604768542679.423, 'btc_market_cap': 1390195908292.9321, 'eth_market_cap': 302903644448.69275, 'btc_price': 70264.99735573279, 'alt_market_cap': 911668989937.798, 'alt_strength_ratio': 12974724.603236843, 'btc_dominance': 53.37118770878937, 'data_quality_score': 1.0, 'collection_latency_ms': 0, 'created_at': 1754511244}
Record 57: {'id': 122, 'timestamp': 1730505600, 'data_source': 'coingecko_real_historical', 'total_market_cap': 2580493410562.089, 'btc_market_cap': 1374687306836.925, 'eth_market_cap': 302633410028.4328, 'btc_price': 69507.92256395647, 'alt_market_cap': 903172693696.731, 'alt_strength_ratio': 12993809.344045535, 'btc_dominance': 53.27226573066457, 'data_quality_score': 1.0, 'collection_latency_ms': 0, 'created_at': 1754511244}
Record 58: {'id': 123, 'timestamp': 1730592000, 'data_source': 'coingecko_real_historical', 'total_market_cap': 2569983690645.196, 'btc_market_cap': 1370516856365.7996, 'eth_market_cap': 299972542553.578, 'btc_price': 69299.16036699413, 'alt_market_cap': 899494291725.8182, 'alt_strength_ratio': 12979872.87237365, 'btc_dominance': 53.327842560033154, 'data_quality_score': 1.0, 'collection_latency_ms': 0, 'created_at': 1754511244}
